activity_zone_id,name,centroid_x,centroid_y,geometry,centroid,poi_count,total_production,total_attraction
16,D1,-122.43586913518517,37.765782507037045,"POLYGON ((-122.4382657 37.76432999999999,-122.4382657 37.76724999999999,-122.4341057 37.76724999999999,-122.4341057 37.76432999999999,-122.4382657 37.76432999999999))",POINT (-122.43586913518517 37.765782507037045),263,579.3285421719676,442.8903375629185
17,D2,-122.43223511666663,37.76579610465118,"POLYGON ((-122.4341057 37.76432999999999,-122.4341057 37.76724999999999,-122.4299457 37.76724999999999,-122.4299457 37.76432999999999,-122.4341057 37.76432999999999))",POINT (-122.43223511666663 37.76579610465118),244,562.7384156539133,700.5279215745791
18,D3,-122.42785757511109,37.76593768755555,"POLYGON ((-122.4299457 37.76432999999999,-122.4299457 37.76724999999999,-122.4257857 37.76724999999999,-122.4257857 37.76432999999999,-122.4299457 37.76432999999999))",POINT (-122.42785757511109 37.76593768755555),215,681.9392445723206,719.7020346226116
19,D4,-122.42390704123223,37.76583401895733,"POLYGON ((-122.4257857 37.76432999999999,-122.4257857 37.76724999999999,-122.4216257 37.76724999999999,-122.4216257 37.76432999999999,-122.4257857 37.76432999999999))",POINT (-122.42390704123223 37.76583401895733),206,750.8412738584644,793.1011718543239
20,D5,-122.41965486193553,37.76576817483869,"POLYGON ((-122.4216257 37.76432999999999,-122.4216257 37.76724999999999,-122.41746570000001 37.76724999999999,-122.41746570000001 37.76432999999999,-122.4216257 37.76432999999999))",POINT (-122.41965486193553 37.76576817483869),149,768.5738087559741,871.2511160345279
21,E1,-122.4361628615384,37.76292288119658,"POLYGON ((-122.4382657 37.761409999999984,-122.4382657 37.76432999999999,-122.4341057 37.76432999999999,-122.4341057 37.761409999999984,-122.4382657 37.761409999999984))",POINT (-122.4361628615384 37.76292288119658),222,599.4664300635459,657.4497317040259
22,E2,-122.43205387571433,37.7628615675,"POLYGON ((-122.4341057 37.761409999999984,-122.4341057 37.76432999999999,-122.4299457 37.76432999999999,-122.4299457 37.761409999999984,-122.4341057 37.761409999999984))",POINT (-122.43205387571433 37.7628615675),263,951.5798588214084,707.9084572735427
23,E3,-122.42787350852267,37.762917603409086,"POLYGON ((-122.4299457 37.761409999999984,-122.4299457 37.76432999999999,-122.4257857 37.76432999999999,-122.4257857 37.761409999999984,-122.4299457 37.761409999999984))",POINT (-122.42787350852267 37.762917603409086),162,1778.3439526167938,709.1008810683009
24,E4,-122.4239862779116,37.76285698955823,"POLYGON ((-122.4257857 37.761409999999984,-122.4257857 37.76432999999999,-122.4216257 37.76432999999999,-122.4216257 37.761409999999984,-122.4257857 37.761409999999984))",POINT (-122.4239862779116 37.76285698955823),244,715.5545384092161,749.201069191712
25,E5,-122.41991921214954,37.76286650841122,"POLYGON ((-122.4216257 37.761409999999984,-122.4216257 37.76432999999999,-122.41746570000001 37.76432999999999,-122.41746570000001 37.761409999999984,-122.4216257 37.761409999999984))",POINT (-122.41991921214954 37.76286650841122),207,739.3833151580479,956.4258141838916
26,Gate1,-122.44034570000001,37.76287,,POINT (-122.44034570000001 37.76287),0,0.0,0.0
27,Gate2,-122.44034570000001,37.76579,,POINT (-122.44034570000001 37.76579),0,0.0,0.0
28,Gate3,-122.44034570000001,37.76871,,POINT (-122.44034570000001 37.76871),0,0.0,0.0
29,Gate4,-122.44034570000001,37.77163,,POINT (-122.44034570000001 37.77163),0,0.0,0.0
30,Gate5,-122.44034570000001,37.77455,,POINT (-122.44034570000001 37.77455),0,0.0,0.0
31,Gate6,-122.43618570000001,37.777473300000004,,POINT (-122.43618570000001 37.777473300000004),0,0.0,0.0
32,Gate7,-122.4320257,37.777473300000004,,POINT (-122.4320257 37.777473300000004),0,0.0,0.0
33,Gate8,-122.42786570000001,37.777473300000004,,POINT (-122.42786570000001 37.777473300000004),0,1000.0,1000.0
34,Gate9,-122.4237057,37.777473300000004,,POINT (-122.4237057 37.777473300000004),0,1000.0,1000.0
35,Gate10,-122.41954570000001,37.777473300000004,,POINT (-122.41954570000001 37.777473300000004),0,1000.0,1000.0
36,Gate11,-122.41538999999999,37.7745533,,POINT (-122.41538999999999 37.7745533),0,1000.0,1000.0
37,Gate12,-122.41538999999999,37.7716333,,POINT (-122.41538999999999 37.7716333),0,2000.0,2000.0
38,Gate13,-122.41538999999999,37.7687133,,POINT (-122.41538999999999 37.7687133),0,9000.0,9000.0
39,Gate14,-122.41538999999999,37.7657933,,POINT (-122.41538999999999 37.7657933),0,0.0,0.0
40,Gate15,-122.41538999999999,37.7628733,,POINT (-122.41538999999999 37.7628733),0,0.0,0.0
41,Gate16,-122.41954999999999,37.759949999999996,,POINT (-122.41954999999999 37.759949999999996),0,0.0,0.0
42,Gate17,-122.42371,37.759949999999996,,POINT (-122.42371 37.759949999999996),0,2000.0,2000.0
43,Gate18,-122.42786999999998,37.759949999999996,,POINT (-122.42786999999998 37.759949999999996),0,1000.0,1000.0
44,Gate19,-122.43203,37.759949999999996,,POINT (-122.43203 37.759949999999996),0,0.0,0.0
45,Gate20,-122.43618999999998,37.759949999999996,,POINT (-122.43618999999998 37.759949999999996),0,0.0,0.0
